"Ne"	"alpha"	"l"	"gamma_2"	"v"	"P_1"	"P_2"	"frac"
"246"	1000	3	50	20	0.915160061934855	18.3814812146192	0.0852027854284213	0.00461386491631098
"247"	1000	3	50	40	0.913444964004042	18.347032551803	0.0434626092846163	0.00236331914415108
"248"	1000	3	50	60	0.912868685236326	18.335457683336	0.0291679873308611	0.00158827018061414
"249"	1000	3	50	80	0.912579692941609	18.3296531179299	0.0219485475657216	0.00119600174228873
"250"	1000	3	50	100	0.912406024022252	18.3261648844378	0.0175937203874987	0.000959112075475671
"251"	1000	4	10	20	0.959460444608972	52.3847653056279	0.110669236375815	0.00210816878346371
"252"	1000	4	10	40	0.944767507113753	51.5825580998364	0.0753897983326967	0.0014594036619749
"253"	1000	4	10	60	0.939176895317448	51.2773210382046	0.0553471499156605	0.00107820520283162
"254"	1000	4	10	80	0.936253307250768	51.1176985383049	0.0435056436854916	0.000850363950205971
"255"	1000	4	10	100	0.934458602676621	51.0197109887005	0.0357843904444378	0.000700892042642974
"256"	1000	4	20	20	0.936878962769562	51.1518581721891	0.172314593047758	0.00335737691936988
"257"	1000	4	20	40	0.927130064922441	50.6195863848742	0.0994640912067513	0.0019610795208727
"258"	1000	4	20	60	0.923682448862214	50.4313529259612	0.06944661845305	0.00137515879113901
"259"	1000	4	20	80	0.921922087693247	50.3352404627454	0.0532863696299849	0.00105750997260248
"260"	1000	4	20	100	0.920854264049178	50.2769392672176	0.043212107659266	0.000858743594337443
"261"	1000	4	30	20	0.928207805723155	50.6784290388084	0.195986049716792	0.00385234993612726
"262"	1000	4	30	40	0.921141898556516	50.292643579204	0.107637661348506	0.00213565596657624
"263"	1000	4	30	60	0.918694667043261	50.1590292658775	0.0739853461211127	0.00147284304341632
"264"	1000	4	30	80	0.917454020873451	50.0912922801601	0.0563357219123012	0.00112339753956006
"265"	1000	4	30	100	0.916704213736535	50.0503541976028	0.045477958355414	0.00090781920168193
"266"	1000	4	40	20	0.923674976738518	50.4309449618306	0.208360253565682	0.00411459542502437
"267"	1000	4	40	40	0.918159782713653	50.1298255709992	0.111708111553627	0.00222342160690089
"268"	1000	4	40	60	0.916268550827484	50.0265678087306	0.07619303707356	0.00152073530055661
"269"	1000	4	40	80	0.915313125943183	49.9744033775521	0.0577968331949012	0.00115519271492055
