Ne	alpha	l	Q	u01	u10	v	P_0	P_1	frac
100	0	7	1.6	1.5e-09	5e-10	0.123959898	0.834490607	0.165509393	0.165509393
100	0	7	1.6	5e-10	1.5e-09	0.041394892	0.937882339	0.062117661	0.062117661
100	0	7	1.8	1e-09	1e-09	0.081364451	0.872253266	0.127746734	0.127746734
100	0	7	1.8	1.5e-09	5e-10	0.12199467	0.819947415	0.180052585	0.180052585
100	0	7	1.8	5e-10	1.5e-09	0.04074677	0.931667599	0.068332401	0.068332401
100	0	7	2	1e-09	1e-09	0.080021453	0.86203708	0.13796292	0.13796292
100	0	7	2	1.5e-09	5e-10	0.119985659	0.806470267	0.193529733	0.193529733
100	0	7	2	5e-10	1.5e-09	0.040079542	0.925789556	0.074210444	0.074210444
100	0	8	0.2	1e-09	1e-09	0.090112834	0.982296496	0.017703504	0.017703504
100	0	8	0.2	1.5e-09	5e-10	0.135188399	0.973674111	0.026325889	0.026325889
100	0	8	0.2	5e-10	1.5e-09	0.045050974	0.991070264	0.008929736	0.008929736
100	0	8	0.4	1e-09	1e-09	0.08946413	0.965450717	0.034549283	0.034549283
100	0	8	0.4	1.5e-09	5e-10	0.134214064	0.949049675	0.050950325	0.050950325
100	0	8	0.4	5e-10	1.5e-09	0.044729753	0.982422592	0.017577408	0.017577408
100	0	8	0.6	1e-09	1e-09	0.088708133	0.949464847	0.050535153	0.050535153
100	0	8	0.6	1.5e-09	5e-10	0.13306624	0.92606334	0.07393666	0.07393666
100	0	8	0.6	5e-10	1.5e-09	0.044360578	0.974073716	0.025926284	0.025926284
100	0	8	0.8	1e-09	1e-09	0.087861424	0.934326962	0.065673038	0.065673038
100	0	8	0.8	1.5e-09	5e-10	0.131775476	0.904633221	0.095366779	0.095366779
100	0	8	0.8	5e-10	1.5e-09	0.043949541	0.966034579	0.033965421	0.033965421
100	0	8	1	1e-09	1e-09	0.086938066	0.920015622	0.079984378	0.079984378
100	0	8	1	1.5e-09	5e-10	0.130366946	0.884668473	0.115331527	0.115331527
100	0	8	1	5e-10	1.5e-09	0.043502005	0.958311527	0.041688473	0.041688473
100	0	8	1.2	1e-09	1e-09	0.085950044	0.906503211	0.093496789	0.093496789
100	0	8	1.2	1.5e-09	5e-10	0.128861514	0.866075448	0.133924552	0.133924552
100	0	8	1.2	5e-10	1.5e-09	0.043022707	0.950907274	0.049092726	0.049092726
100	0	8	1.4	1e-09	1e-09	0.084907609	0.89375836	0.10624164	0.10624164
100	0	8	1.4	1.5e-09	5e-10	0.127276585	0.848761541	0.151238459	0.151238459
100	0	8	1.4	5e-10	1.5e-09	0.042515835	0.943821687	0.056178313	0.056178313
100	0	8	1.6	1e-09	1e-09	0.083819565	0.88174767	0.11825233	0.11825233
100	0	8	1.6	1.5e-09	5e-10	0.125626747	0.832637529	0.167362471	0.167362471
100	0	8	1.6	5e-10	1.5e-09	0.041985104	0.937052411	0.062947589	0.062947589
100	0	8	1.8	1e-09	1e-09	0.082693503	0.870436937	0.129563063	0.129563063
100	0	8	1.8	1.5e-09	5e-10	0.123924294	0.817618883	0.182381117	0.182381117
100	0	8	1.8	5e-10	1.5e-09	0.04143382	0.930595381	0.069404619	0.069404619
100	0	8	2	1e-09	1e-09	0.081535987	0.859792018	0.140207982	0.140207982
100	0	8	2	1.5e-09	5e-10	0.122179631	0.803626437	0.196373563	0.196373563
100	0	8	2	5e-10	1.5e-09	0.040864925	0.924445231	0.075554769	0.075554769
100	0	9	0.2	1e-09	1e-09	0.090174359	0.982284623	0.017715377	0.017715377
100	0	9	0.2	1.5e-09	5e-10	0.135277927	0.973657136	0.026342864	0.026342864
100	0	9	0.2	5e-10	1.5e-09	0.045082575	0.991064056	0.008935944	0.008935944
100	0	9	0.4	1e-09	1e-09	0.089606931	0.965397478	0.034602522	0.034602522
100	0	9	0.4	1.5e-09	5e-10	0.134423592	0.948974192	0.051025808	0.051025808
100	0	9	0.4	5e-10	1.5e-09	0.044802439	0.982394532	0.017605468	0.017605468
100	0	9	0.6	1e-09	1e-09	0.088947973	0.949335138	0.050664862	0.050664862
100	0	9	0.6	1.5e-09	5e-10	0.133419298	0.925881708	0.074118292	0.074118292
100	0	9	0.6	5e-10	1.5e-09	0.044482235	0.974004463	0.025995537	0.025995537
100	0	9	0.8	1e-09	1e-09	0.088210812	0.934083023	0.065916977	0.065916977
100	0	9	0.8	1.5e-09	5e-10	0.132290133	0.904296406	0.095703594	0.095703594
100	0	9	0.8	5e-10	1.5e-09	0.044126689	0.965902342	0.034097658	0.034097658
100	0	9	1	1e-09	1e-09	0.087406845	0.919619004	0.080380996	0.080380996
100	0	9	1	1.5e-09	5e-10	0.13105694	0.884128787	0.115871213	0.115871213
100	0	9	1	5e-10	1.5e-09	0.043739994	0.958093017	0.041906983	0.041906983
100	0	9	1.2	1e-09	1e-09	0.086545861	0.905916058	0.094083942	0.094083942
100	0	9	1.2	1.5e-09	5e-10	0.12973714	0.86528801	0.13471199	0.13471199
100	0	9	1.2	5e-10	1.5e-09	0.043325878	0.950578426	0.049421574	0.049421574
100	0	9	1.4	1e-09	1e-09	0.085636296	0.892944193	0.107055807	0.107055807
100	0	9	1.4	1.5e-09	5e-10	0.128345366	0.847684985	0.152315015	0.152315015
100	0	9	1.4	5e-10	1.5e-09	0.042887663	0.943358199	0.056641801	0.056641801
100	0	9	1.6	1e-09	1e-09	0.084685449	0.880671854	0.119328146	0.119328146
100	0	9	1.6	1.5e-09	5e-10	0.126893976	0.831234217	0.168765783	0.168765783
100	0	9	1.6	5e-10	1.5e-09	0.042428319	0.936430149	0.063569851	0.063569851
100	0	9	1.8	1e-09	1e-09	0.083699653	0.869066921	0.130933079	0.130933079
100	0	9	1.8	1.5e-09	5e-10	0.125393454	0.815854855	0.184145145	0.184145145
100	0	9	1.8	5e-10	1.5e-09	0.041950499	0.929790671	0.070209329	0.070209329
100	0	9	2	1e-09	1e-09	0.082684423	0.85809742	0.14190258	0.14190258
100	0	9	2	1.5e-09	5e-10	0.123852732	0.801471204	0.198528796	0.198528796
100	0	9	2	5e-10	1.5e-09	0.041456584	0.923435072	0.076564928	0.076564928
100	0	10	0.2	1e-09	1e-09	0.090222951	0.982275246	0.017724754	0.017724754
100	0	10	0.2	1.5e-09	5e-10	0.135348717	0.973643714	0.026356286	0.026356286
100	0	10	0.2	5e-10	1.5e-09	0.045107502	0.991059159	0.008940841	0.008940841
100	0	10	0.4	1e-09	1e-09	0.089718959	0.965355716	0.034644284	0.034644284
100	0	10	0.4	1.5e-09	5e-10	0.134588345	0.948914848	0.051085152	0.051085152
100	0	10	0.4	5e-10	1.5e-09	0.044859312	0.982372577	0.017627423	0.017627423
100	0	10	0.6	1e-09	1e-09	0.08913545	0.949233772	0.050766228	0.050766228
100	0	10	0.6	1.5e-09	5e-10	0.133696161	0.925739324	0.074260676	0.074260676
100	0	10	0.6	5e-10	1.5e-09	0.044576971	0.973950541	0.026049459	0.026049459
100	0	10	0.8	1e-09	1e-09	0.088483416	0.933892782	0.066107218	0.066107218
100	0	10	0.8	1.5e-09	5e-10	0.132693259	0.904032758	0.095967242	0.095967242
100	0	10	0.8	5e-10	1.5e-09	0.044264257	0.965799676	0.034200324	0.034200324
100	0	10	1	1e-09	1e-09	0.087772325	0.919310022	0.080689978	0.080689978
100	0	10	1	1.5e-09	5e-10	0.131597287	0.883706608	0.116293392	0.116293392
100	0	10	1	5e-10	1.5e-09	0.043924541	0.957923644	0.042076356	0.042076356
100	0	10	1.2	1e-09	1e-09	0.087010362	0.905458839	0.094541161	0.094541161
100	0	10	1.2	1.5e-09	5e-10	0.130423093	0.864672142	0.135327858	0.135327858
100	0	10	1.2	5e-10	1.5e-09	0.04356084	0.95032372	0.04967628	0.04967628
100	0	10	1.4	1e-09	1e-09	0.086204625	0.892310224	0.107689776	0.107689776
100	0	10	1.4	1.5e-09	5e-10	0.129183231	0.846842932	0.153157068	0.153157068
100	0	10	1.4	5e-10	1.5e-09	0.043175859	0.942999274	0.057000726	0.057000726
100	0	10	1.6	1e-09	1e-09	0.085361294	0.879833973	0.120166027	0.120166027
100	0	10	1.6	1.5e-09	5e-10	0.127888361	0.830136355	0.169863645	0.169863645
100	0	10	1.6	5e-10	1.5e-09	0.042772028	0.935948159	0.064051841	0.064051841
100	0	10	1.8	1e-09	1e-09	0.084485761	0.86799952	0.13200048	0.13200048
100	0	10	1.8	1.5e-09	5e-10	0.126547583	0.814474416	0.185525584	0.185525584
100	0	10	1.8	5e-10	1.5e-09	0.042351531	0.929167036	0.070832964	0.070832964
100	0	10	2	1e-09	1e-09	0.083582748	0.856776527	0.143223473	0.143223473
100	0	10	2	1.5e-09	5e-10	0.125168691	0.799784133	0.200215867	0.200215867
100	0	10	2	5e-10	1.5e-09	0.04191634	0.922651641	0.077348359	0.077348359
100	1	1	0.2	1e-09	1e-09	0.079885918	2.675534325	0.042747503	0.015725928
100	1	1	0.2	1.5e-09	5e-10	0.120545381	2.654289364	0.063992465	0.023541512
100	1	1	0.2	5e-10	1.5e-09	0.039706045	2.696865456	0.021416372	0.007878643
100	1	1	0.4	1e-09	1e-09	0.068411834	2.64587808	0.072403749	0.026635851
100	1	1	0.4	1.5e-09	5e-10	0.103953645	2.609764035	0.108517793	0.039921465
